osm_id,voltage,dist_to_vegetation_m,vegetation_risk
19206600,unknown,0.0,1.0
23121215,unknown,0.0,1.0
23128483,unknown,248.4,0.172
23247501,unknown,0.0,1.0
23305856,unknown,0.0,1.0
23454039,unknown,0.0,1.0
23715379,unknown,0.0,1.0
23777908,unknown,105.7,0.648
24006047,unknown,0.0,1.0
24158173,unknown,103.6,0.655
24158174,unknown,0.0,1.0
24158388,unknown,489.2,0.0
24158389,unknown,0.0,1.0
24158390,unknown,0.0,1.0
24158392,unknown,0.0,1.0
24158393,unknown,0.0,1.0
24158397,unknown,0.0,1.0
24158398,unknown,0.0,1.0
24158399,unknown,123.4,0.589
24158402,unknown,311.3,0.0
24158403,unknown,0.0,1.0
24332313,unknown,654.5,0.0
24405013,unknown,58.6,0.707
24514837,unknown,330.1,0.0
24638544,unknown,0.0,1.0
24706104,unknown,0.0,1.0
24706105,unknown,84.4,0.578
24706107,unknown,0.0,1.0
24706108,unknown,0.0,1.0
24706110,unknown,0.0,1.0
24708453,unknown,0.0,1.0
24710592,unknown,0.0,1.0
24711836,unknown,0.0,1.0
24715382,unknown,237.3,0.209
24715384,unknown,0.0,1.0
24719189,unknown,0.0,1.0
24727327,unknown,141.3,0.529
24727415,unknown,94.8,0.526
24727463,unknown,0.0,1.0
24727674,unknown,0.7,0.996
24727751,unknown,0.0,1.0
24727894,unknown,24.5,0.877
24757395,unknown,0.0,1.0
24757396,unknown,0.0,1.0
24757835,unknown,217.3,0.276
24761225,unknown,110.5,0.632
24761226,unknown,192.5,0.358
24761227,unknown,0.0,1.0
24761229,unknown,2.5,0.988
24761230,unknown,0.0,1.0
24761231,unknown,0.0,1.0
24761253,unknown,156.3,0.479
24761256,unknown,118.7,0.604
24795308,unknown,0.0,1.0
24837756,unknown,0.0,1.0
24886403,unknown,74.9,0.625
24887217,unknown,0.0,1.0
24976295,unknown,0.0,1.0
24976592,unknown,63.3,0.684
24999349,unknown,55321.4,0.0
25013154,unknown,0.0,1.0
25197729,unknown,0.0,1.0
25198924,unknown,118.3,0.606
25348379,unknown,51.1,0.745
25348704,unknown,0.0,1.0
25449375,unknown,114.3,0.619
25661381,unknown,0.0,1.0
26545932,unknown,285.4,0.049
26830074,unknown,0.0,1.0
26831104,unknown,0.0,1.0
26831162,unknown,0.0,1.0
26968980,unknown,0.0,1.0
26968985,unknown,0.0,1.0
26971631,unknown,0.0,1.0
26980003,unknown,0.0,1.0
26981811,unknown,57029.4,0.0
27052127,unknown,22.2,0.889
27195784,unknown,276.2,0.079
27196145,unknown,0.0,1.0
27196813,unknown,0.0,1.0
27197577,unknown,0.0,1.0
27197667,unknown,0.0,1.0
27197745,unknown,0.0,1.0
27198051,unknown,503.4,0.0
27198696,unknown,250.5,0.165
27200246,unknown,0.0,1.0
27200259,unknown,0.0,1.0
27208566,unknown,166.1,0.446
27221748,unknown,0.0,1.0
27315068,unknown,371.8,0.0
27482900,unknown,0.0,1.0
27622853,unknown,48.1,0.76
27630712,unknown,0.0,1.0
27630738,unknown,0.0,1.0
27679428,unknown,20.5,0.897
27685832,unknown,0.0,1.0
27704693,unknown,0.0,1.0
27759863,unknown,0.0,1.0
27797029,unknown,0.0,1.0
27892534,unknown,0.0,1.0
28052775,unknown,36.0,0.82
28127453,unknown,17.1,0.914
28139694,unknown,0.0,1.0
28139695,unknown,0.0,1.0
28161510,unknown,0.0,1.0
28217872,unknown,0.0,1.0
28219169,unknown,0.0,1.0
28219237,unknown,0.0,1.0
28259454,unknown,0.0,1.0
28291503,unknown,0.0,1.0
28292698,unknown,0.0,1.0
28305308,unknown,0.0,1.0
28326884,unknown,0.0,1.0
28423280,unknown,0.0,1.0
28423284,unknown,82.2,0.589
28423286,unknown,68.1,0.66
28423287,unknown,0.0,1.0
28423288,unknown,68.0,0.66
28430275,unknown,0.0,1.0
28431368,unknown,0.0,1.0
28444860,unknown,0.0,1.0
28444861,unknown,0.0,1.0
28477582,unknown,0.0,1.0
28526798,unknown,0.0,1.0
28527493,unknown,118.4,0.605
28527530,unknown,829.1,0.0
28613720,unknown,13.8,0.931
28613725,unknown,0.0,1.0
28631923,unknown,0.0,1.0
28671597,unknown,0.0,1.0
28671599,unknown,0.0,1.0
28705773,unknown,0.0,1.0
28705775,unknown,0.0,1.0
28706404,unknown,0.0,1.0
28721260,unknown,292.0,0.027
28721320,unknown,232.5,0.225
28721633,unknown,71.4,0.643
28740524,unknown,0.0,1.0
28753388,unknown,0.0,1.0
28768121,unknown,0.0,1.0
28809927,unknown,0.0,1.0
28833902,unknown,0.0,1.0
28871549,unknown,815.4,0.0
28875298,unknown,0.0,1.0
28881823,unknown,0.0,1.0
28881824,unknown,0.0,1.0
28882058,unknown,232.5,0.225
28955398,unknown,21520.8,0.0
28964209,unknown,0.0,1.0
28964210,unknown,112.2,0.626
28984815,unknown,0.5,0.998
28986305,unknown,0.0,1.0
28986958,unknown,0.0,1.0
28990490,unknown,0.0,1.0
28991477,unknown,0.0,1.0
28992611,unknown,0.0,1.0
28999206,unknown,0.0,1.0
28999257,unknown,0.0,1.0
28999258,unknown,54.6,0.727
28999354,unknown,116.2,0.613
29008585,unknown,0.0,1.0
29008586,unknown,0.0,1.0
29008587,unknown,22.9,0.885
29052630,unknown,0.0,1.0
29084373,unknown,0.0,1.0
29089828,unknown,0.0,1.0
29118761,unknown,256.2,0.146
29118762,unknown,180.5,0.398
29178819,unknown,0.0,1.0
29181312,unknown,0.0,1.0
29181337,unknown,0.0,1.0
29204726,unknown,15.2,0.924
29223266,unknown,0.0,1.0
29338809,unknown,0.0,1.0
29346762,unknown,0.0,1.0
29374668,unknown,0.0,1.0
29376413,unknown,0.0,1.0
29387280,unknown,61.2,0.694
29400226,unknown,0.0,1.0
29417981,unknown,298.9,0.004
29418954,unknown,178.5,0.405
29420751,unknown,0.0,1.0
29420878,unknown,0.0,1.0
29424520,unknown,0.0,1.0
29504073,unknown,0.0,1.0
29893668,unknown,0.0,1.0
29995656,unknown,0.0,1.0
29998261,unknown,0.0,1.0
30022928,unknown,0.0,1.0
30023079,unknown,28.5,0.858
30023131,unknown,233.8,0.221
30023326,unknown,0.0,1.0
30029120,unknown,0.0,1.0
30029683,unknown,0.0,1.0
30029849,unknown,0.0,1.0
30029969,unknown,0.0,1.0
30030122,unknown,0.0,1.0
30031050,unknown,0.0,1.0
30031051,unknown,0.0,1.0
30031858,unknown,99.1,0.504
30032428,unknown,0.0,1.0
30037560,unknown,0.0,1.0
30037649,unknown,0.0,1.0
30046595,unknown,0.0,1.0
30051520,unknown,236.5,0.212
30056452,unknown,64.9,0.676
30057392,unknown,516.2,0.0
30060700,unknown,14985.1,0.0
30060701,unknown,14858.4,0.0
30070820,unknown,0.0,1.0
30070890,unknown,0.0,1.0
30071218,unknown,0.0,1.0
30071904,unknown,0.0,1.0
30071905,unknown,0.0,1.0
30071959,unknown,0.0,1.0
30072705,unknown,0.0,1.0
30072860,unknown,418.3,0.0
30072861,unknown,0.0,1.0
30074310,unknown,0.0,1.0
30083811,unknown,0.0,1.0
30083812,unknown,0.0,1.0
30095649,unknown,0.0,1.0
30095652,unknown,68.9,0.655
30095657,unknown,0.0,1.0
30097339,unknown,14981.5,0.0
30098040,unknown,12612.3,0.0
30114667,unknown,18972.0,0.0
30116349,unknown,0.0,1.0
30137077,unknown,0.0,1.0
30137248,unknown,0.0,1.0
30149198,unknown,0.0,1.0
30155938,unknown,284.6,0.051
30156277,unknown,0.0,1.0
30156278,unknown,0.0,1.0
30156279,unknown,0.0,1.0
30157335,unknown,0.0,1.0
30167227,unknown,0.0,1.0
30170055,unknown,0.0,1.0
30170181,unknown,0.0,1.0
30170636,unknown,25.4,0.873
30180921,unknown,23642.4,0.0
30263396,unknown,0.0,1.0
30373942,unknown,0.0,1.0
30374042,unknown,0.0,1.0
30472276,unknown,0.0,1.0
30503100,unknown,0.0,1.0
30503102,unknown,0.0,1.0
30504561,unknown,0.0,1.0
30581502,unknown,0.0,1.0
30581509,unknown,0.0,1.0
30712473,unknown,0.0,1.0
30772151,unknown,0.0,1.0
30776799,unknown,0.0,1.0
30859575,unknown,0.0,1.0
30889598,unknown,0.0,1.0
30926560,unknown,0.0,1.0
30970013,unknown,0.0,1.0
31019938,unknown,403.6,0.0
31105066,unknown,0.0,1.0
31242327,unknown,0.0,1.0
31264991,unknown,0.0,1.0
31266458,unknown,0.0,1.0
31267501,unknown,0.0,1.0
31267812,unknown,105.9,0.647
31267814,unknown,199.2,0.336
31267815,unknown,146.8,0.511
31268745,unknown,0.0,1.0
31269308,unknown,0.0,1.0
31269309,unknown,26.2,0.869
31269710,unknown,187.5,0.375
31284894,unknown,0.0,1.0
31512243,unknown,130.5,0.565
31512246,unknown,0.0,1.0
31512247,unknown,0.0,1.0
31574335,unknown,0.0,1.0
31762932,unknown,2.1,0.989
31763738,unknown,0.0,1.0
31792527,unknown,6555.1,0.0
32058797,unknown,0.0,1.0
32489248,unknown,0.0,1.0
32575250,unknown,0.0,1.0
32693105,unknown,0.0,1.0
32762159,unknown,221.5,0.262
32820246,unknown,0.0,1.0
32820248,unknown,0.0,1.0
32993769,unknown,33.1,0.835
32993770,unknown,95.4,0.523
32993771,unknown,0.0,1.0
32994458,unknown,0.0,1.0
32994916,unknown,0.0,1.0
32994918,unknown,0.0,1.0
32994919,unknown,0.0,1.0
32995407,unknown,0.0,1.0
32995482,unknown,8.8,0.956
33112294,unknown,0.0,1.0
33128875,unknown,0.0,1.0
33128876,unknown,0.0,1.0
33139111,unknown,0.0,1.0
33140074,unknown,14.4,0.928
33140079,unknown,311.2,0.0
33140681,unknown,26.5,0.868
33140684,unknown,0.0,1.0
33140686,unknown,0.0,1.0
33143353,unknown,123.5,0.588
33172096,unknown,0.0,1.0
33232545,unknown,0.0,1.0
33232549,unknown,0.0,1.0
33368085,unknown,0.0,1.0
33463752,unknown,169.1,0.436
33543521,unknown,88.1,0.56
33878661,unknown,0.0,1.0
33892066,unknown,103.6,0.655
33898604,unknown,0.0,1.0
33898605,unknown,0.0,1.0
33900923,unknown,0.0,1.0
33913428,unknown,16.7,0.917
33913429,unknown,0.0,1.0
34068550,unknown,16.3,0.919
34074907,unknown,154.6,0.485
34115545,unknown,0.0,1.0
34141097,unknown,0.0,1.0
34141099,unknown,0.0,1.0
34141101,unknown,0.0,1.0
34155940,unknown,0.0,1.0
34155974,unknown,0.0,1.0
34255385,unknown,0.0,1.0
34349256,unknown,0.0,1.0
34349356,unknown,77.2,0.614
34349720,unknown,1022.5,0.0
34641889,unknown,150.4,0.499
34712313,unknown,0.0,1.0
34714499,unknown,278.4,0.072
35028020,unknown,0.0,1.0
35028021,unknown,0.0,1.0
35045950,unknown,4.7,0.977
35045951,unknown,4.6,0.977
35045952,unknown,0.0,1.0
35045953,unknown,64.8,0.676
35045954,unknown,0.0,1.0
35050927,unknown,0.0,1.0
35064359,unknown,0.0,1.0
35070395,unknown,0.0,1.0
35070397,unknown,0.0,1.0
35070399,unknown,0.0,1.0
35070402,unknown,0.0,1.0
35150518,unknown,411.4,0.0
35150671,unknown,0.0,1.0
35413823,unknown,0.0,1.0
35413824,unknown,0.0,1.0
35413825,unknown,0.0,1.0
35419075,unknown,0.0,1.0
35419076,unknown,0.0,1.0
35446795,unknown,0.0,1.0
35449127,unknown,0.0,1.0
35451110,unknown,0.0,1.0
35473818,unknown,0.0,1.0
35481619,unknown,0.0,1.0
35773027,unknown,0.0,1.0
35773030,unknown,297.4,0.009
35773031,unknown,403.6,0.0
35773035,unknown,0.0,1.0
35773039,unknown,0.0,1.0
35773040,unknown,322.9,0.0
35816534,unknown,0.0,1.0
35869744,unknown,0.0,1.0
35870055,unknown,0.0,1.0
35870056,unknown,0.0,1.0
35870057,unknown,16.9,0.916
35870058,unknown,0.0,1.0
35870059,unknown,0.0,1.0
35870060,unknown,0.0,1.0
35922007,unknown,321.5,0.0
35932722,unknown,320.5,0.0
35932723,unknown,0.0,1.0
36106089,unknown,137.1,0.543
36106090,unknown,157.5,0.475
36591066,unknown,0.0,1.0
36902360,unknown,474.3,0.0
36969924,unknown,0.0,1.0
37015375,unknown,39.9,0.8
37015376,unknown,0.0,1.0
37016046,unknown,0.0,1.0
37213788,unknown,0.0,1.0
37273503,unknown,0.0,1.0
37293773,unknown,0.0,1.0
37293774,unknown,0.0,1.0
37294957,unknown,0.0,1.0
37294958,unknown,0.0,1.0
37299540,unknown,0.0,1.0
37346189,unknown,0.0,1.0
37346190,unknown,0.0,1.0
37346191,unknown,0.0,1.0
37346192,unknown,0.0,1.0
37346193,unknown,0.0,1.0
37436338,unknown,0.0,1.0
37547946,unknown,172.9,0.424
37578755,unknown,0.0,1.0
37578756,unknown,368.2,0.0
37578771,unknown,0.0,1.0
37649098,unknown,0.0,1.0
37715609,unknown,0.0,1.0
37715610,unknown,0.0,1.0
37716116,unknown,0.0,1.0
37716117,unknown,292.5,0.025
37743595,unknown,0.0,1.0
37743607,unknown,11.8,0.941
37762758,unknown,0.0,1.0
37767598,unknown,0.0,1.0
37767602,unknown,0.0,1.0
37767603,unknown,0.0,1.0
37767605,unknown,0.0,1.0
37767606,unknown,0.0,1.0
37767607,unknown,0.0,1.0
37767608,unknown,0.0,1.0
37770941,unknown,0.0,1.0
37771296,unknown,0.0,1.0
37785543,unknown,0.0,1.0
37886938,unknown,0.0,1.0
37888339,unknown,0.0,1.0
37888341,unknown,14981.7,0.0
37919238,unknown,0.0,1.0
38115775,unknown,0.0,1.0
38123424,unknown,293.1,0.023
38124326,unknown,289.2,0.036
38124327,unknown,318.5,0.0
38167224,unknown,509.2,0.0
38378929,unknown,0.0,1.0
38388945,unknown,0.0,1.0
38419340,unknown,0.0,1.0
38419355,unknown,0.0,1.0
38419356,unknown,0.0,1.0
38452408,unknown,0.0,1.0
38581151,unknown,0.0,1.0
38772686,unknown,0.0,1.0
38772687,unknown,0.0,1.0
38913394,unknown,0.0,1.0
39006368,unknown,1299.8,0.0
39006369,unknown,1702.7,0.0
39131228,unknown,0.0,1.0
39135617,unknown,0.0,1.0
39140152,unknown,0.0,1.0
39167747,unknown,3859.6,0.0
39188804,unknown,93.0,0.535
39188808,unknown,78.4,0.608
39188809,unknown,0.0,1.0
39198695,unknown,0.0,1.0
39198697,unknown,582.5,0.0
39271826,unknown,0.0,1.0
39274533,unknown,0.0,1.0
39365101,unknown,0.0,1.0
39365102,unknown,0.0,1.0
39365103,unknown,0.0,1.0
39375051,unknown,0.0,1.0
39375052,unknown,0.0,1.0
39375056,unknown,0.0,1.0
39538933,unknown,0.0,1.0
39817026,unknown,0.0,1.0
39817034,unknown,0.0,1.0
39817036,unknown,0.0,1.0
39817048,unknown,0.0,1.0
40222062,unknown,9.2,0.954
40542565,unknown,0.0,1.0
40698788,unknown,0.0,1.0
40795378,unknown,0.0,1.0
40795379,unknown,0.0,1.0
40796174,unknown,0.0,1.0
40796176,unknown,798.4,0.0
40804113,unknown,233.5,0.222
40804115,unknown,0.0,1.0
40811220,unknown,0.0,1.0
41146184,unknown,0.0,1.0
41146198,unknown,0.0,1.0
41154436,unknown,0.0,1.0
41173001,unknown,0.0,1.0
41173002,unknown,0.0,1.0
